label,packet_count,flow_duration,total_size,avg_size,std_size,min_size,max_size,fwd_packet_count,bwd_packet_count,avg_iat,std_iat,flow_packets_per_second,flow_bytes_per_second,fwd_bwd_ratio,avg_fwd_size,avg_bwd_size,fwd_bwd_size_ratio
Ses,9,0.0035851001739501,1946,216.22222222222223,324.42522774140383,54,1099,5,4,0.0004481375217437,0.0004031076348668,2510.390104409124,542802.1270200172,1.0,319.4,87.25,3.619263456090651
Download,4,359.9822919368744,280,70.0,0.0,70,70,4,0,119.99409731229146,0.0711357122974089,0.0111116576831546,0.7778160378208273,4.0,70.0,0.0,0.0
Zoom,5,42.38785290718079,287,57.4,4.5431266766402185,54,66,2,3,10.596963226795197,18.299114377299475,0.1179583219501303,6.770807679937482,0.5,62.0,54.333333333333336,1.120481927710843
Zoom,2,4.091555118560791,320,160.0,89.0,71,249,1,1,4.091555118560791,0.0,0.4888116967866981,78.2098714858717,0.5,249.0,71.0,3.458333333333333
Ses,3989,176.055006980896,1002719,251.37102030584106,66.11641641010084,75,411,3972,17,0.044146190316172514,0.18939747264005283,22.65769130004268,5695.486979866506,220.66666666666666,251.98212487411882,108.58823529411765,2.2993537964895436
Download,14,361.0113089084625,1043,74.5,4.5,70,79,7,7,27.77010068526635,42.36161747519077,0.03877994859033576,2.8891061699800145,0.875,75.14285714285714,73.85714285714286,1.0038167938931297
Download,22,0.3744239807128906,11949,543.1363636363636,538.1812212066715,65,1292,13,9,0.017829713367280505,0.03254860593961557,58.7569203182786,31913.02004014141,1.3,413.15384615384613,730.8888888888889,0.5645035092431478
Download,2,0.060476064682006836,121,60.5,5.5,55,66,1,1,0.060476064682006836,0.0,33.07093493130433,2000.791563343912,0.5,55.0,66.0,0.8208955223880597
Gezinti,2,0.0019099712371826172,218,109.0,29.0,80,138,1,1,0.0019099712371826172,0.0,1047.1361877418549,114137.84446386219,0.5,138.0,80.0,1.7037037037037037
Ses,10,1.0308079719543457,1191,119.1,126.04003332275028,54,401,5,5,0.1145342191060384,0.3099164656672089,9.701127923022018,1155.4043356319223,0.8333333333333334,125.0,113.2,1.094570928196147
Zoom,10,0.0051710605621337,2000,200.0,311.6007060325762,54,1099,5,5,0.0005745622846815,0.000665808122648,1933.8392733643784,386767.85467287566,0.8333333333333334,319.4,80.6,3.9142156862745097
Video,13,0.015170097351074219,9601,738.5384615384615,1948.1524429131312,54,7354,6,7,0.0012641747792561848,0.0025718634617713653,856.9490161564091,632889.8080090526,0.75,1515.0,73.0,20.472972972972972
Gezinti,151,108.31384491920473,33500,221.8543046357616,261.89549498996666,54,1846,93,58,0.7220922994613648,2.352630006489309,1.3940969422019545,309.2864077070561,1.576271186440678,166.80645161290323,310.12068965517244,0.5361470874784365
Gezinti,48,14.41637110710144,21224,442.1666666666667,781.1492690616535,54,3053,29,19,0.3067313001510944,1.9937557347929196,3.3295480286544104,1472.215153336692,1.45,330.0689655172414,613.2631578947369,0.5373413027870436
Download,4,360.06507897377014,280,70.0,0.0,70,70,4,0,120.02169299125671,0.01569753014125392,0.011109102863850315,0.7776372004695221,4.0,70.0,0.0,0.0
Video,52,297.1350939273834,9559,183.82692307692307,406.9303815506949,54,1846,25,27,5.826178312301636,7.769974803617683,0.1750045722054906,32.17055203292855,0.8928571428571429,128.92,234.66666666666663,0.547043847241867
Download,23,0.4619598388671875,11131,483.95652173913044,518.7190307789464,66,1292,9,14,0.02099817449396307,0.042007847057257956,49.78787778695293,24095.168158546654,0.6,534.8888888888889,451.2142857142857,1.182821741343302
Zoom,2,0.1302499771118164,884,442.0,0.0,442,442,2,0,0.1302499771118164,0.0,15.355089070634149,6786.949369220293,2.0,442.0,0.0,0.0
Download,4,360.03703594207764,280,70.0,0.0,70,70,4,0,120.01234531402588,0.0433533821405302,0.0111099681440648,0.7776977700845368,4.0,70.0,0.0,0.0
Ses,32,45.135008811950684,15724,491.375,722.515689708535,54,2958,19,13,1.4559680261919576,7.952390298092215,0.7089840202164125,348.37702293383967,1.3571428571428572,576.8421052631579,366.46153846153845,1.569802672895343
Ses,13,0.0186109542846679,9601,738.5384615384615,1948.1524429131312,54,7354,6,7,0.0015509128570556,0.0026596124811999,698.5133487061235,515878.97391749936,0.75,1515.0,73.0,20.47297297297297
Ses,4,7.007378101348877,280,70.0,0.0,70,70,4,0,2.3357927004496255,1.252833960275148,0.5708269115990794,39.95788381193555,4.0,70.0,0.0,0.0
Ses,7,317.04572892189026,1633,233.28571428571428,179.1134630703712,151,671,1,6,52.84095482031504,79.81671087377656,0.022078833939203048,5.150676546102654,0.14285714285714285,671.0,160.33333333333334,4.159090909090909
Download,2,0.0515530109405517,121,60.5,5.5,55,66,1,1,0.0515530109405517,0.0,38.79501824454629,2347.0986037950506,0.5,55.0,66.0,0.8208955223880597
Ses,6,0.652508020401001,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.1305016040802002,0.0017600489548871081,9.195289272172747,3607.6184911157743,6.0,392.3333333333333,0.0,0.0
Video,6,0.6430788040161133,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.12861576080322265,0.0028448785402225276,9.330116250962085,3660.515609127458,6.0,392.3333333333333,0.0,0.0
Ses,22,0.3172001838684082,6195,281.59090909090907,614.6865911762684,54,2958,11,11,0.0151047706604003,0.0308547657582657,69.35683243212365,19530.253496227542,0.9166666666666666,107.45454545454544,455.7272727272728,0.2352707006369426
Gezinti,20,15.800060987472534,9590,479.5,578.1716440642865,54,1856,10,10,0.8315821572353965,3.376113854936576,1.2658178987952953,606.9596824723441,0.9090909090909092,422.2,536.8,0.7850502045370027
